,cookie,quantity,unit,ingredient,notes
0,Tate's Chocolate Chip Cookies,2.0,cup,all-purpose flour,
1,Tate's Chocolate Chip Cookies,1.0,teaspoon,baking soda,
2,Tate's Chocolate Chip Cookies,1.0,teaspoon,salt,
3,Tate's Chocolate Chip Cookies,1.0,cup,salted butter,
4,Tate's Chocolate Chip Cookies,0.75,cup,sugar,
5,Tate's Chocolate Chip Cookies,0.75,cup,dark brown sugar,firmly packed
6,Tate's Chocolate Chip Cookies,3.0,teaspoon,water,Nonnie puts 3 tsp water (recipe only 1)
7,Tate's Chocolate Chip Cookies,1.0,teaspoon,vanilla,
8,Tate's Chocolate Chip Cookies,2.0,unit,egg,large
9,Tate's Chocolate Chip Cookies,2.0,cup,semisweet chocolate chips,
10,Magic Cookie Bars,0.5,cup,unsalted butter,
11,Magic Cookie Bars,1.5,cup,graham cracker crumbs,
12,Magic Cookie Bars,14.0,ounce,sweetened condensed milk,usually 1 can of eagle brand/magnolia
13,Magic Cookie Bars,6.0,ounce,semisweet chocolate chips,
14,Magic Cookie Bars,1.33,cup,coconut flake,
15,Magic Cookie Bars,1.0,cup,chopped nuts,usually walnuts
16,Peanut Butter Cluster Kisses,14.0,ounce,sweetened condensed milk,usually 1 can of eagle brand/magnolia
17,Peanut Butter Cluster Kisses,0.75,cup,peanut butter,"usually creamy, can use crunchy"
18,Peanut Butter Cluster Kisses,2.0,cup,bisquik baking mix,
19,Peanut Butter Cluster Kisses,1.0,teaspoon,vanilla,
20,Peanut Butter Cluster Kisses,1.0,plate,granulated sugar,
21,Peanut Butter Cluster Kisses,10.8,ounce,hershey kiss,1 bag of share pack is enough kisses
22,Forgotten Cookies,2.0,unit,egg white,large
23,Forgotten Cookies,0.67,cup,sugar,
24,Forgotten Cookies,1.0,pinch,salt,
25,Forgotten Cookies,1.0,teaspoon,vanilla,
26,Forgotten Cookies,1.0,cup,mini semisweet chocolate chips,
27,Forgotten Cookies,1.0,cup,chopped nuts,optional
